id;nome;descricao;imagem;imagem_content_type;categoria_item;unidade_medida
1;Supervisor Berkshire;azure;../fake-data/blob/hipster.png;image/png;FERRAMENTAS;UNIDADE
2;cyan McDonald;Bedfordshire Tuna;../fake-data/blob/hipster.png;image/png;MONETARIO;CENTIMETRO
3;Director;drive haptic;../fake-data/blob/hipster.png;image/png;PAPELARIA;EMBALAGEM
4;Bedfordshire;portal Sausages;../fake-data/blob/hipster.png;image/png;MONETARIO;METRO_CUBICO
5;Towels;Small withdrawal;../fake-data/blob/hipster.png;image/png;LIMPEZA;CAIXA
6;invoice;backing program;../fake-data/blob/hipster.png;image/png;UTILITARIO;QUILOGRAMA
7;intermediate;Garden;../fake-data/blob/hipster.png;image/png;PAPELARIA;DUZIA
8;Agent Vista;Directives array;../fake-data/blob/hipster.png;image/png;MONETARIO;CAIXA
9;Tools Corporate Associate;Arkansas TCP Loan;../fake-data/blob/hipster.png;image/png;INFORMATICA;LITRO
10;calculate;synthesizing;../fake-data/blob/hipster.png;image/png;INFANTIL;METRO_CUBICO
