id;solicitante;anonima;data_solicitacao;endereco_entrega;local_de_entrega;data_aprovacao;aprovado;ativa
1;programming;true;2022-03-11T13:39:17;Producer;copying Rubber;2022-03-11;false;true
2;deploy Slovenia;true;2022-03-11T21:46:04;Concrete Nevada Operations;mindshare District Cambridgeshire;2022-03-11;false;false
3;Iowa auxiliary;true;2022-03-11T18:56:17;Alabama;magnetic;2022-03-11;true;false
4;networks;true;2022-03-11T15:19:43;Intranet Pants auxiliary;Adaptive capability;2022-03-11;true;true
5;blue;true;2022-03-11T13:50:27;orchid;Morocco;2022-03-12;true;false
6;GB intangible;true;2022-03-11T21:20:55;Berkshire Future;Response;2022-03-11;true;true
7;Alabama;true;2022-03-11T13:46:07;Cotton Indiana generation;wireless;2022-03-12;true;false
8;Legacy Berkshire Vision-oriented;true;2022-03-11T23:21:44;networks Fantastic cross-platform;collaborative;2022-03-11;true;false
9;open-source;true;2022-03-12T01:09:38;alliance matrix;multimedia Buckinghamshire Progressive;2022-03-11;false;true
10;Functionality;true;2022-03-12T01:16:30;RSS connect;dynamic invoice Intelligent;2022-03-11;false;false
